=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    146000        0.417504     460        0.9960   (       331.0)         0.717
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    147000        0.420707     463        0.9960   (       333.4)         0.851
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    148000        0.423203     464        0.9960   (       335.6)         0.889
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    149000        0.426375     467        0.9959   (       337.8)         0.892
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    150000        0.430024     469        0.9959   (       340.0)         0.779
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    151000        0.433175     473        0.9959   (       342.2)         0.864
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    152000        0.436460     479        0.9959   (       344.4)         0.781
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    153000        0.438358     481        0.9959   (       346.6)         0.774
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    154000        0.440764     482        0.9959   (       348.8)         0.728
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    155000        0.445211     484        0.9959   (       351.0)         0.720
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    156000        0.448099     485        0.9958   (       353.4)         0.704
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    157000        0.451077     489        0.9958   (       355.7)         0.616
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    158000        0.453785     493        0.9958   (       357.9)         0.599
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    159000        0.457549     497        0.9958   (       360.1)         0.642
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    160000        0.460831     502        0.9958   (       362.2)         0.652
